fecha,ano,mes,dia,fechas,pib_real,pib_reale4,IPI,rfp_neta,isr,iva,rfp_real,isr_real,iva_real,tasa iva,reformaisr,covid,ieps_gas,ieps_tabacos,Ieps_bebidas,ieps_cervezas,petroleros,ieps_gasr,ieps_tabacosr,Ieps_bebidasr,ieps_cervezasr,petrolerosr
2002-01-01,2002,1,1,2002/01,12415541.45,3103885.362,56.29528692,186449.264,85336.8,44972.3,331198.7099,151587.8232,79886.43892,15,0,0,,2017,547.2,2068,13573.8,,3582.893188,972.017428,3673.486917,24111.78758
2002-04-01,2002,4,1,2002/02,13112362.76,3278090.691,57.8325346,217633.866,95242.3,60083.2,376317.3575,164686.3667,103891.6942,15,0,0,,2446.4,-1267.4,3000.5,21785.5,,4230.144878,-2191.500007,5188.256093,37669.97271
2002-07-01,2002,7,1,2002/03,12889950.08,3222487.521,58.57828098,188817.825,59012.5,53715.7,322334.1857,100741.2628,91699.00362,15,0,0,,3669.5,716.7,2853.2,31675.3,,6264.267129,1223.491007,4870.747233,54073.45431
2002-10-01,2002,10,1,2002/04,13084104.38,3271026.095,58.83894662,228931.016,84463.4,65791,389080.752,143550.1566,111815.394,15,0,0,,3416.8,1137.8,2808.6,35023.2,,5807.038019,1933.753178,4773.368936,59523.83924
2003-01-01,2003,1,1,2003/01,12803323.69,3200830.923,60.49556448,231317.601,95707,57591.3,382371.1755,158204.9871,95199.21088,15,0,0,,2625.7,840.3,2579.5,44469.5,,4340.318208,1389.027456,4263.948973,73508.69503
2003-04-01,2003,4,1,2003/02,13182930.05,3295732.512,59.7786317,238019.163,89097.3,66322.2,398167.6332,149045.3988,110946.3334,15,0,0,,2731.3,1141.6,3231.1,48989.7,,4569.023951,1909.712497,5405.108662,81951.85906
2003-07-01,2003,7,1,2003/03,12954912.94,3238728.235,59.98910696,210488.355,70450,61880.4,350877.6271,117437.9876,103152.7274,15,0,0,,3558.3,309.4,2799.5,35901,,5931.576882,515.7603033,4666.680572,59845.86506
2003-10-01,2003,10,1,2003/04,13305707.41,3326426.852,60.70841066,245870.137,91829.7,71139.8,405001.7689,151263.5548,117182.7746,15,0,0,,3640.5,1121.2,2991,45591.7,,5996.697921,1846.861066,4926.829689,75099.47882
2004-01-01,2004,1,1,2004/01,13252629.58,3313157.395,62.98322624,254715.603,103744.6,67199.2,404418.1573,164717.8244,106693.8041,15,0,0,,2717.8,1396.1,2790.2,51546.2,,4315.117154,2216.621922,4430.068395,81841.1553
2004-04-01,2004,4,1,2004/02,13732336,3433084,64.68106047,251001.971,89176.9,72285.3,388061.0014,137871.7346,111756.5165,15,0,0,,3698.4,1135.1,3603.1,63269.5,,5717.902541,1754.918661,5570.564202,97817.66029
