fecha,ano,mes,dia,fechas,ieps_gas,ieps_tabacos,ieps_bebidas,ieps_cervezas,ieps_bebidassab,ieps_alimentos,importacion,rfp_petroleros
2002-01-01,2002,1,1,ene-02,,822.6,599.9,785.9,,,2482,8514.1
2002-02-01,2002,2,1,feb-02,,989.7,450.2,1152.3,,,1916.8,5589.7
2002-03-01,2002,3,1,mar-02,,724.4,286.4,540,,,1803,3231
2002-04-01,2002,4,1,abr-02,,839.5,161.4,702,,,1797.7,4342.8
2002-05-01,2002,5,1,may-02,,453.1,99.4,826,,,2253.6,6000
2002-06-01,2002,6,1,jun-02,,678,-1172.3,1048.4,,,2006.8,4067.8
2002-07-01,2002,7,1,jul-02,,914.1,120.6,1042.6,,,1997.8,7603.2
2002-08-01,2002,8,1,ago-02,,854.3,-215.7,909.5,,,2334,10114.5
2002-09-01,2002,9,1,sep-02,,1053.9,136,966.8,,,2388,8460
2002-10-01,2002,10,1,oct-02,,1482.8,288,999.1,,,2585.4,12613.1
2002-11-01,2002,11,1,nov-02,,1132.8,292.7,887.3,,,2870.7,10602.2
2002-12-01,2002,12,1,dic-02,,880.9,319.4,908.5,,,2667.5,8697.2
2003-01-01,2003,1,1,ene-03,,915.5,360.9,815.4,,,2722.4,13445.4
2003-02-01,2003,2,1,feb-03,,1620.4,457.5,1084.7,,,2149.3,12880.6
2003-03-01,2003,3,1,mar-03,,593.8,205.1,818.6,,,1966.6,13333.8
2003-04-01,2003,4,1,abr-03,,932.9,322,838.9,,,2128.8,16207.1
2003-05-01,2003,5,1,may-03,,1099,313.2,922,,,2258.3,14928.6
2003-06-01,2003,6,1,jun-03,,1208.1,146.8,1142.7,,,1769.1,18728.6
2003-07-01,2003,7,1,jul-03,,385.6,779.4,1117.9,,,1929.4,17357.8
2003-08-01,2003,8,1,ago-03,,1137.6,215.4,970.5,,,2253.5,12903.3
2003-09-01,2003,9,1,sep-03,,1004,211.2,935.4,,,2174.7,10772
2003-10-01,2003,10,1,oct-03,,1377.5,-248.8,972.1,,,2385.3,10614.2
2003-11-01,2003,11,1,nov-03,,1176.8,347,892,,,2810.5,14514.8
2003-12-01,2003,12,1,dic-03,,936.7,294.1,944.2,,,2297.2,13553.2
2004-01-01,2004,1,1,ene-04,,939.6,292,863.7,,,2483.4,16443.5
2004-02-01,2004,2,1,feb-04,,1764.2,535.1,1183.1,,,1881.8,15595
2004-03-01,2004,3,1,mar-04,,625.9,422.9,869.1,,,1957.2,18064.3
2004-04-01,2004,4,1,abr-04,,913.8,543.1,874.5,,,2272.6,12081.5
2004-05-01,2004,5,1,may-04,,1178.1,430.1,1046.6,,,2199.2,21400.4
2004-06-01,2004,6,1,jun-04,,1314.8,453.7,1296.7,,,1973.2,23069.6
2004-07-01,2004,7,1,jul-04,,1243,401.7,1145.1,,,2352.4,18968.2
2004-08-01,2004,8,1,ago-04,,1140.6,279.7,1161.3,,,2406.8,21231.7
2004-09-01,2004,9,1,sep-04,,1277.3,105,1143.9,,,2725.6,24842.7
2004-10-01,2004,10,1,oct-04,,1253.3,92.3,1098.5,,,3250.7,26154.7
2004-11-01,2004,11,1,nov-04,,1185.1,303.1,960.5,,,2914.7,21939.8
2004-12-01,2004,12,1,dic-04,,1083.8,410.1,972.9,,,2845.8,24863.3
2005-01-01,2005,1,1,ene-05,,1331.9,437.1,987,,,3109.6,25819.9
2005-02-01,2005,2,1,feb-05,,1800.6,652.2,1160.2,,,2223.4,29111.7
2005-03-01,2005,3,1,mar-05,,828.5,184.6,933.4,,,1886.1,27171.2
2005-04-01,2005,4,1,abr-05,,1127.6,366.5,890.2,,,2006,19973.8
2005-05-01,2005,5,1,may-05,,1194.8,-504.2,1098.1,,,2050.7,22944.2
2005-06-01,2005,6,1,jun-05,,1055.1,381.1,1392.4,,,1038,24895.5
2005-07-01,2005,7,1,jul-05,,1377.5,352.2,1306,,,2039.9,28902.4
2005-08-01,2005,8,1,ago-05,,1392.7,490.2,1236.2,,,2048.2,28129.5
2005-09-01,2005,9,1,sep-05,,1064.1,295.3,1190.2,,,2429.6,29594.4
2005-10-01,2005,10,1,oct-05,,1312.6,1067,1276.2,,,2769.3,36510.4
2005-11-01,2005,11,1,nov-05,,1323.5,334.1,1165.8,,,2407.6,33608
2005-12-01,2005,12,1,dic-05,,1375.5,491.3,1066.5,,,2657.6,31821.8
2006-01-01,2006,1,1,ene-06,,1372.2,246.5,1108.6,,,2584.4,32505.8
2006-02-01,2006,2,1,feb-06,,1398.5,925.5,1265.1,,,2349.5,33649.5
2006-03-01,2006,3,1,mar-06,,1428.7,266.9,1141.7,,,2436.5,36537.2
2006-04-01,2006,4,1,abr-06,,1240,358.1,949.8,,,2457.9,34770.1
2006-05-01,2006,5,1,may-06,,1308.4,1017.2,855.7,,,1789.2,56267
2006-06-01,2006,6,1,jun-06,,1385.2,210.6,1344.6,,,2673.5,54504.3
2006-07-01,2006,7,1,jul-06,,1446.6,365.8,1478.7,,,2763,62758.4
2006-08-01,2006,8,1,ago-06,,1309.7,543.5,1330.6,,,2578.6,20220.2
2006-09-01,2006,9,1,sep-06,,1564.2,-51.8,1341.8,,,3607.1,43388.6
2006-10-01,2006,10,1,oct-06,,1287.9,271.6,1255.5,,,3008,35752.7
2006-11-01,2006,11,1,nov-06,,1348.6,431,1247.6,,,3072.3,16192
2006-12-01,2006,12,1,dic-06,,1408.6,515.4,1235.9,,,2931.2,20754.6
2007-01-01,2007,1,1,ene-07,,1306.3,318.7,1170.4,,,2309.6,10743.4
2007-02-01,2007,2,1,feb-07,,2766.9,540.8,1308.9,,,2499,27686.5
2007-03-01,2007,3,1,mar-07,,603.4,1039.2,1187.4,,,2239.1,31573.6
2007-04-01,2007,4,1,abr-07,,1075.8,553.6,1101.8,,,2464.5,40590.2
2007-05-01,2007,5,1,may-07,,1754.7,1294.2,1093.5,,,2021.9,41707.9
