fecha,ano,mes,dia,fechas,pib_real,pib_reale4,IPI,rfp_neta,isr,iva,rfp_real,isr_real,iva_real,tasa iva,reformaisr,covid
2002-01-01,2002,1,1,2002/01,12415541,3103885.36,56.3,187133.66,85336.8,44972.3,332414.4,151587.8,79886.4,15,0,0
2002-04-01,2002,4,1,2002/02,13112363,3278090.69,57.08,218176.2,95242.3,60083.2,382196,166843.3,105252.4,15,0,0
2002-07-01,2002,7,1,2002/03,12889950,3222487.52,57.59,189825.37,59012.5,53715.7,329638.3,102477.2,93279.2,15,0,0
2002-10-01,2002,10,1,2002/04,13084104,3271026.1,57.9,229993.64,84463.4,65791,397196.3,145867.3,113620.3,15,0,0
2003-01-01,2003,1,1,2003/01,12803324,3200830.92,60.5,232211.62,95707,57591.3,383849,158205,95199.2,15,0,0
2003-04-01,2003,4,1,2003/02,13182930,3295732.51,60.13,239112.21,89097.3,66322.2,397646.4,148169.9,110294.6,15,0,0
2003-07-01,2003,7,1,2003/03,12954913,3238728.24,60.08,211394.8,70450,61880.4,351829.9,117251.8,102989.2,15,0,0
2003-10-01,2003,10,1,2003/04,13305707,3326426.85,60.24,246983.82,91829.7,71139.8,409977.3,152431.4,118087.5,15,0,0
2004-01-01,2004,1,1,2004/01,13252630,3313157.4,62.98,255770.29,103744.6,67199.2,406092.7,164717.8,106693.8,15,0,0
2004-04-01,2004,4,1,2004/02,13732336,3433084,63.85,252245.48,89176.9,72285.3,395076.6,139672.3,113216,15,0,0
2004-07-01,2004,7,1,2004/03,13438260,3359565.03,64.5,227767.38,58711.2,68669.1,353124.9,91024.4,106462.9,15,0,0
2004-10-01,2004,10,1,2004/04,13872035,3468008.64,65.04,285053.9,93685.5,87234.1,438276.8,144043.6,134124.4,15,0,0
2005-01-01,2005,1,1,2005/01,13354788,3338696.97,67.85,277872.8,111915.6,72213.4,409543.3,164947,106431.8,15,0,0
2005-04-01,2005,4,1,2005/02,14104834,3526208.49,68.12,287925.5,104944.1,78645.9,422691,154063.9,115456.7,15,0,0
2005-07-01,2005,7,1,2005/03,13782144,3445536.11,68.57,257812.7,64812.6,74190.8,375989.6,94521.6,108198.6,15,0,0
2005-10-01,2005,10,1,2005/04,14306524,3576630.96,68.86,319141.9,107771.8,97167.9,463464.4,156508.4,141109.2,15,0,0
2006-01-01,2006,1,1,2006/01,14107960,3526990.01,71.59,382586.6,149755.9,91219.3,534384.8,209174.3,127412.2,15,0,0
2006-04-01,2006,4,1,2006/02,14700504,3675125.98,72.4,356548.8,118124.7,92404.8,492452.5,163149.6,127626.2,15,0,0
2006-07-01,2006,7,1,2006/03,14435868,3608966.93,72.98,259977.48,68472.6,97411.9,356210.1,93818.2,133469.6,15,0,0
2006-10-01,2006,10,1,2006/04,14800897,3700224.34,73.26,291196.6,116496,108853.3,397485.4,159017.9,148585.5,15,0,0
2007-01-01,2007,1,1,2007/01,14393727,3598431.84,75.89,422677.2,190460.7,101469.1,556930.2,250955.8,133698.3,15,0,0
2007-04-01,2007,4,1,2007/02,14993339,3748334.85,76.26,310149.4,118192.5,96695,406701.9,154987,126797.1,15,0,0
2007-07-01,2007,7,1,2007/03,14783298,3695824.56,76.81,289524.58,81614.4,95901.2,376915.1,106249,124848.2,15,0,0
2007-10-01,2007,10,1,2007/04,15204939,3801234.73,77.5,373416.8,149708.4,121824.8,481823.5,193170.3,157191.8,15,0,0
2008-01-01,2008,1,1,2008/01,14563428,3640857.1,80.9,474628.3,200253.1,105724,586670.1,247525.3,130681.4,15,0,0
2008-04-01,2008,4,1,2008/02,15386334,3846583.51,81.81,380856,140404.7,116307,465513,171614,142159.8,15,0,0
2008-07-01,2008,7,1,2008/03,14979495,3744873.68,82.32,351000.81,114627.4,126399.6,426360.6,139237.9,153537.6,15,0,0
2008-10-01,2008,10,1,2008/04,15125054,3781263.39,82.28,359982.5,173854,109300.4,437485.3,211284.1,132832.3,15,0,0
2009-01-01,2009,1,1,2009/01,13752149,3438037.2,84.75,333201.2,162588.1,93089.3,393154.1,191842.6,109838.9,15,0,0
2009-04-01,2009,4,1,2009/02,14012938,3503234.39,84.99,356392,136759.7,96240,419336.3,160913.6,113237.5,15,0,0
2009-07-01,2009,7,1,2009/03,14231941,3557985.36,85.23,379479.06,125339.9,111764.3,445227,147056.1,131128.4,15,0,0
2009-10-01,2009,10,1,2009/04,14882966,3720741.42,85.53,429719.43,172094.5,127300.9,502403.1,201202.9,148832.8,15,0,0
2010-01-01,2010,1,1,2010/01,14371721,3592930.37,88.95,418514.3,190153.84,117431.11,470522.2,213783.8,132024,16,0,0
2010-04-01,2010,4,1,2010/02,14998399,3749599.83,88.75,392139.21,158406.36,118297.57,441855.5,178489.5,133295.6,16,0,0
2010-07-01,2010,7,1,2010/03,14921453,3730363.2,88.98,425802.74,147943.54,130074.78,478527.1,166262.4,146181.1,16,0,0
2010-10-01,2010,10,1,2010/04,15499605,3874901.3,89.42,481733.8,191876.67,142515.12,538729.2,214578.2,159376.5,16,0,0
2011-01-01,2011,1,1,2011/01,14902733,3725683.31,93.34,438864.71,203438.38,106355.81,470200.1,217964.1,113949.7,16,0,0
2011-04-01,2011,4,1,2011/02,15413047,3853261.64,93.3,439954.31,175204.76,125655.44,471534.2,187780.9,134675,16,0,0
2011-07-01,2011,7,1,2011/03,15526015,3881503.83,93.64,466302.51,171426.17,124008.1,497962.9,183065.4,132427.8,16,0,0
2011-10-01,2011,10,1,2011/04,16139539,4034884.82,94.65,552167.79,221628.23,166527.5,583408.6,234167.6,175949.4,16,0,0
2012-01-01,2012,1,1,2012/01,15619752,3904938.11,98.68,463194.17,219648.82,114386.4,469410.9,222596.8,115921.6,16,0,0
2012-04-01,2012,4,1,2012/02,16027465,4006866.26,98.35,464732.39,182091.34,141560.03,472544.6,185152.3,143939.7,16,0,0
2012-07-01,2012,7,1,2012/03,15952811,3988202.8,98.52,470089.89,169647.25,157854.71,477159.7,172198.6,160228.7,16,0,0
2012-10-01,2012,10,1,2012/04,16638866,4159716.47,98.49,529990.44,226529.12,163394.63,538097.9,229994.4,165894.1,16,0,0
